振替日,振替元口座,振替先口座,備考,金額
2022/10/04,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,211118
2022/09/27,川口信金（法人）（API）,現金,,100000
2022/09/16,川口信金（法人）（API）,現金,,200000
2022/09/05,現金,川口信金（法人）（API）,,1000000
2022/09/05,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,351282
2022/09/05,現金,川口信金（法人）（API）,,1000000
2022/09/05,現金,川口信金（法人）（API）,,1000000
2022/09/05,現金,川口信金（法人）（API）,,1000000
2022/09/05,現金,川口信金（法人）（API）,,1000000
2022/08/24,川口信金（法人）（API）,現金,,187000
2022/08/17,川口信金（法人）（API）,現金,,5000770
2022/08/15,みずほ（法人）（API）,現金,,200000
2022/08/04,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,151458
2022/08/02,川口信金（法人）（API）,現金,,500000
2022/07/22,川口信金（法人）（API）,現金,,1000000
2022/07/16,川口信金（法人）（API）,現金,,100000
2022/07/09,みずほ（法人）（API）,現金,,100000
2022/07/09,みずほ（法人）（API）,現金,,75000
2022/07/08,みずほ（法人）（API）,現金,,200000
2022/07/07,川口信金（法人）（API）,現金,,170000
2022/07/05,川口信金（法人）（API）,現金,,200000
2022/07/04,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,387783
2022/06/26,みずほ（法人）（API）,現金,,500000
2022/06/22,みずほ（法人）（API）,現金,,100000
2022/06/22,みずほ（法人）（API）,現金,,100000
2022/06/17,みずほ（法人）（API）,現金,,200000
2022/06/13,みずほ（法人）（API）,現金,,100000
2022/06/10,川口信金（法人）（API）,現金,,300000
2022/06/06,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,95098
2022/06/03,みずほ（法人）（API）,現金,,300000
2022/05/25,川口信金（法人）（API）,現金,,700000
2022/05/21,川口信金（法人）（API）,現金,,900000
2022/05/21,川口信金（法人）（API）,現金,,137000
2022/05/15,みずほ（法人）（API）,現金,,200000
2022/05/14,みずほ（法人）（API）,現金,,200000
2022/05/09,川口信金（法人）（API）,現金,,100000
2022/05/06,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,369618
2022/05/02,川口信金（法人）（API）,現金,,300000
2022/04/22,川口信金（法人）（API）,現金,,700000
2022/04/14,みずほ（法人）（API）,現金,,200000
2022/04/11,川口信金（法人）（API）,現金,,600000
2022/04/07,川口信金（法人）（API）,現金,,415000
2022/04/04,川口信金（法人）（API）,freeeセゾンプラチナビジネスカード,,138119
2022/04/04,川口信金（法人）（API）,現金,,500000
2022/04/01,川口信金（法人）（API）,現金,,200000
2022/03/16,川口信金（法人）（API）,現金,,200000
2022/03/11,川口信金（法人）（API）,現金,,422000
2022/03/11,川口信金（法人）（API）,現金,,600000
2022/01/31,みずほ（法人）（API）,現金,,20000
2022/01/28,みずほ（法人）（API）,現金,,200000
2022/01/23,みずほ（法人）（API）,現金,,20000
2022/01/20,みずほ（法人）（API）,現金,,50000
2022/01/17,みずほ（法人）（API）,現金,,100000
2022/01/07,みずほ（法人）（API）,freeeセゾンプラチナビジネスカード,,414048
2022/01/06,みずほ（法人）（API）,現金,,100000
2021/12/29,みずほ（法人）（API）,現金,,1000000
2021/12/28,みずほ（法人）（API）,現金,,1000000
2021/12/26,みずほ（法人）（API）,現金,,100000
2021/12/24,みずほ（法人）（API）,現金,,200000
2021/12/22,みずほ（法人）（API）,現金,,200000
2021/12/20,みずほ（法人）（API）,現金,,200000
2021/12/20,みずほ（法人）（API）,freeeセゾンプラチナビジネスカード,,9913
2021/12/17,みずほ（法人）（API）,現金,,100000
2021/12/16,みずほ（法人）（API）,現金,,200000
2021/12/14,みずほ（法人）（API）,現金,,100000
2021/12/06,みずほ（法人）（API）,現金,,90000
2021/11/30,みずほ（法人）（API）,現金,,150000
2021/11/30,みずほ（法人）（API）,現金,,1000000
2021/11/29,現金,みずほ（法人）（API）,,200000
2021/11/15,みずほ（法人）（API）,現金,,100000
2021/11/09,みずほ（法人）（API）,freeeセゾンプラチナビジネスカード,,416538
2021/11/08,みずほ（法人）（API）,現金,,100000
2021/11/06,現金,みずほ（法人）（API）,,900000
2021/10/31,みずほ（法人）（API）,現金,,100000
2021/10/28,みずほ（法人）（API）,現金,,20000
2021/10/25,現金,みずほ（法人）（API）,,1000000
2021/10/19,みずほ（法人）（API）,現金,,33000
2021/10/11,みずほ（法人）（API）,現金,,50000
2021/10/11,みずほ（法人）（API）,現金,,50000
2021/10/09,みずほ（法人）（API）,現金,,100000
2021/10/08,みずほ（法人）（API）,現金,,200000
2021/10/05,みずほ（法人）（API）,freeeセゾンプラチナビジネスカード,,105574
2021/10/05,みずほ（法人）（API）,現金,,150000
2021/10/03,みずほ（法人）（API）,現金,,200000
2021/09/30,現金,みずほ（法人）（API）,,800000
2021/09/27,現金,みずほ（法人）（API）,,400000
2021/09/16,みずほ（法人）（API）,freeeセゾンプラチナビジネスカード,,150606
2021/09/15,現金,みずほ（法人）（API）,,200000
2021/09/02,ゆうちょ（法人）（API） 〇三八店 普通 ***6300,現金,,25000
2021/09/01,みずほ（法人）（API）,現金,,600000
2021/08/31,みずほ（法人）（API）,freeeセゾンプラチナビジネスカード,,380932
2021/08/25,みずほ（法人）（API）,現金,,50000
